product_id,brand_name,price_usd,primary_category
P476678,FaceGym,70.0,Skincare
P465808,SEPHORA COLLECTION,12.0,Skincare
P434340,Mount Lai,40.0,Skincare
P454395,fresh,21.0,Skincare
P379704,Tata Harper,165.0,Skincare
P440502,Mario Badescu,18.0,Skincare
P474972,The INKEY List,13.99,Skincare
P406941,Clarins,59.0,Skincare
P454090,Moon Juice,58.0,Skincare
P467028,Kate Somerville,72.0,Skincare
P475906,Augustinus Bader,220.0,Skincare
P476540,Isle of Paradise,30.0,Skincare
P447597,The Ordinary,8.5,Skincare
P502169,Skinfix,40.0,Skincare
P480603,First Aid Beauty,26.0,Skincare
P404232,Kate Somerville,110.0,Skincare
P469513,Paula's Choice,15.0,Skincare
P440486,Mario Badescu,18.0,Skincare
P502741,The INKEY List,17.99,Skincare
P476893,NUDESTIX,39.0,Skincare
P440485,Mario Badescu,14.0,Skincare
P501316,TULA Skincare,68.0,Skincare
P475143,NUDESTIX,29.0,Skincare
P483496,The Ordinary,6.5,Skincare
P437960,Wander Beauty,26.0,Skincare
P474957,Isle of Paradise,24.0,Skincare
P417107,La Mer,320.0,Skincare
P476674,FaceGym,38.0,Skincare
P480444,Farmacy,60.0,Skincare
P469087,Fenty Skin,36.0,Skincare
P479840,First Aid Beauty,30.0,Skincare
P397625,Dr. Jart+,9.0,Skincare
P447783,Dr. Barbara Sturm,75.0,Skincare
P232920,Kate Somerville,140.0,Skincare
P450210,fresh,28.0,Skincare
P437477,REN Clean Skincare,34.0,Skincare
P388982,HUM Nutrition,25.0,Skincare
P448562,Skinfix,32.0,Skincare
P457002,Moon Juice,60.0,Skincare
P476675,FaceGym,68.0,Skincare
P500705,FaceGym,48.0,Skincare
P441045,Herbivore,25.0,Skincare
P444968,Mario Badescu,5.0,Skincare
P452004,Herbivore,36.0,Skincare
P481408,CANOPY,150.0,Skincare
P502710,The INKEY List,17.99,Skincare
P417118,La Mer,105.0,Skincare
P449156,Jillian Dempsey,195.0,Skincare
P469454,Danessa Myricks Beauty,30.0,Skincare
P406942,Clarins,62.0,Skincare
P448710,Dr. Brandt Skincare,38.0,Skincare
P447789,Dr. Barbara Sturm,150.0,Skincare
P475189,TULA Skincare,46.0,Skincare
P478020,Naturally Serious,19.0,Skincare
P501017,FaceGym,70.0,Skincare
P461521,SEPHORA COLLECTION,5.0,Skincare
P469515,Paula's Choice,22.0,Skincare
P469831,Hourglass,82.0,Skincare
P461162,First Aid Beauty,30.0,Skincare
P386760,HUM Nutrition,30.0,Skincare
P386764,HUM Nutrition,26.0,Skincare
P442841,Skinfix,15.0,Skincare
P455217,SEPHORA COLLECTION,17.0,Skincare
P433884,Dr. Jart+,9.0,Skincare
P424984,TAN-LUXE,49.0,Skincare
P501790,Wishful,39.0,Skincare
P481390,Paula's Choice,37.0,Skincare
P427729,Dior,110.0,Skincare
P474109,StriVectin,45.0,Skincare
P474122,StriVectin,119.0,Skincare
P478021,Naturally Serious,39.0,Skincare
P439626,fresh,72.0,Skincare
P386757,HUM Nutrition,26.0,Skincare
P432662,Herbivore,40.0,Skincare
P407381,CLINIQUE,34.0,Skincare
P397626,Dr. Jart+,9.0,Skincare
P409834,Origins,73.0,Skincare
P456957,SEPHORA COLLECTION,20.0,Skincare
P481710,Hyper Skin,48.0,Skincare
P469527,Paula's Choice,35.0,Skincare
P440489,Mario Badescu,16.0,Skincare
P440501,Mario Badescu,22.0,Skincare
P375864,SK-II,170.0,Skincare
P421249,La Mer,320.0,Skincare
P502756,The INKEY List,19.99,Skincare
P482754,TULA Skincare,38.0,Skincare
P472024,DAMDAM,48.0,Skincare
P504059,MARA,96.0,Skincare
P433522,Charlotte Tilbury,58.0,Skincare
P406529,Estée Lauder,48.0,Skincare
P442734,L'Occitane,65.0,Skincare
P173622,Shiseido,70.0,Skincare
P405827,FOREO,149.0,Skincare
P467969,PMD,299.0,Skincare
P375854,SK-II,400.0,Skincare
P481834,Sulwhasoo,260.0,Skincare
P398500,PMD,159.0,Skincare
P469516,Paula's Choice,37.0,Skincare
P419466,St. Tropez,9.0,Skincare
P454376,tarte,12.0,Skincare
P477202,Moon Juice,42.0,Skincare
P469544,The INKEY List,15.99,Skincare
P448554,Dr. Barbara Sturm,75.0,Skincare
P455919,KORRES,45.0,Skincare
P467970,PMD,179.0,Skincare
P502640,Dr. Brandt Skincare,79.0,Skincare
P442747,St. Tropez,44.0,Skincare
P483060,Clarins,28.0,Skincare
P473728,SEPHORA COLLECTION,10.0,Skincare
P504524,Glossier,19.0,Skincare
P454385,Supergoop!,34.0,Skincare
P482068,Saint Jane Beauty,70.0,Skincare
P504892,iNNBEAUTY PROJECT,38.0,Skincare
P444964,La Mer,85.0,Skincare
P376135,Lancôme,160.0,Skincare
P469525,Paula's Choice,42.0,Skincare
P467651,SEPHORA COLLECTION,20.0,Skincare
P469514,Paula's Choice,34.0,Skincare
P417111,La Mer,260.0,Skincare
P468818,CLINIQUE,16.0,Skincare
P501587,CAY SKIN,22.0,Skincare
P481060,BeautyBio,58.0,Skincare
P475197,TULA Skincare,36.0,Skincare
P469832,Hourglass,52.0,Skincare
P475184,TULA Skincare,68.0,Skincare
P458964,goop,25.0,Skincare
P460746,Tatcha,14.0,Skincare
P423264,Dior,110.0,Skincare
P448711,Dr. Barbara Sturm,125.0,Skincare
P383054,Dr. Brandt Skincare,152.0,Skincare
P475195,TULA Skincare,64.0,Skincare
P504446,RANAVAT,125.0,Skincare
P440309,Mount Lai,46.0,Skincare
P446612,Charlotte Tilbury,25.0,Skincare
P474956,Isle of Paradise,24.0,Skincare
P476676,FaceGym,110.0,Skincare
P502848,FOREO,129.0,Skincare
P484055,LANEIGE,45.0,Skincare
P472466,fresh,18.0,Skincare
P459116,LANEIGE,15.0,Skincare
P471566,OLEHENRIKSEN,18.0,Skincare
P474970,Paula's Choice,32.0,Skincare
P422648,Estée Lauder,59.0,Skincare
P455341,COOLA,28.0,Skincare
P475192,TULA Skincare,34.0,Skincare
P469833,Hourglass,65.0,Skincare
P474111,StriVectin,69.0,Skincare
P504199,MARA,74.0,Skincare
P505711,The INKEY List,14.99,Skincare
P423159,Moon Juice,38.0,Skincare
P383308,Kate Somerville,98.0,Skincare
P475183,TULA Skincare,34.0,Skincare
P472341,Tata Harper,130.0,Skincare
P408678,GUERLAIN,32.0,Skincare
P440494,Mario Badescu,45.0,Skincare
P449835,tarte,16.0,Skincare
P397627,Dr. Jart+,9.0,Skincare
P477413,iNNBEAUTY PROJECT,30.0,Skincare
P447790,Dr. Barbara Sturm,150.0,Skincare
P448563,CLINIQUE,74.0,Skincare
P473724,SEPHORA COLLECTION,6.0,Skincare
P435801,belif,38.0,Skincare
P455610,IT Cosmetics,54.0,Skincare
P472343,Tata Harper,88.0,Skincare
P476680,FaceGym,35.0,Skincare
P480191,StriVectin,99.0,Skincare
P503926,Augustinus Bader,215.0,Skincare
P469504,Paula's Choice,34.0,Skincare
P427641,IT Cosmetics,20.0,Skincare
P444969,Mario Badescu,5.0,Skincare
P431416,La Mer,135.0,Skincare
P500399,CAY SKIN,38.0,Skincare
P456989,TAN-LUXE,49.0,Skincare
